ts,waiting
1758105766.5542822,0
1758105766.9072723,0
1758105767.0453176,0
1758105767.2035244,0
1758105767.3401332,0
1758105767.4771962,0
1758105767.630617,0
1758105767.7781434,0
1758105767.9136992,1
1758105768.0510838,0
1758105768.1859677,0
1758105768.3343284,0
1758105768.4731321,0
1758105768.612306,1
1758105768.746765,1
1758105768.888152,0
1758105769.024434,0
1758105769.1552165,0
1758105769.2852592,0
1758105769.4216945,1
1758105769.5576932,0
1758105769.694153,0
1758105769.833174,1
1758105769.9711857,0
1758105770.1111166,0
1758105770.250983,0
1758105770.388255,0
1758105770.525736,0
1758105770.6661975,0
1758105770.8079314,0
1758105770.946533,0
1758105771.0827549,0
1758105771.2163277,0
1758105771.3496988,0
1758105771.484753,1
1758105771.62203,0
1758105771.759373,0
1758105771.9017098,0
1758105772.0458202,0
1758105772.1991568,1
1758105772.3333783,1
1758105772.475152,0
1758105772.631169,0
1758105772.82387,1
1758105773.007345,0
1758105773.1835454,1
1758105773.3319824,1
1758105773.4851673,0
1758105773.633157,0
1758105773.7888937,0
1758105773.964039,1
1758105774.1049654,1
1758105774.2452004,0
1758105774.3797495,0
1758105774.512816,0
1758105774.6522644,0
1758105774.7908416,0
1758105774.934103,0
1758105775.0727124,1
1758105775.214977,0
1758105775.3624098,0
1758105775.5011199,0
1758105775.6378653,2
1758105775.77681,1
1758105775.9176936,1
1758105776.058157,0
1758105776.199665,1
1758105776.344757,0
1758105776.4867172,1
1758105776.6316721,0
1758105776.771411,0
1758105776.9163291,1
1758105777.060621,0
1758105777.2074223,1
1758105777.3432338,0
1758105777.4831827,0
1758105777.61717,1
1758105777.7517278,1
1758105777.9009113,0
1758105778.0411456,0
1758105778.1747258,0
1758105778.3083236,0
1758105778.4432006,0
1758105778.585397,0
1758105778.7248127,0
1758105778.867007,1
1758105779.002578,1
1758105779.1397796,0
1758105779.278813,0
1758105779.4142148,1
1758105779.5519269,0
1758105779.7042847,0
1758105779.8389552,0
1758105779.9766169,0
1758105780.1312118,0
1758105780.2663798,0
1758105780.4123886,0
1758105780.5532742,0
1758105780.6903465,0
1758105780.8318193,0
1758105780.96697,0
1758105781.1078682,0
1758105781.2398095,0
1758105781.3794694,0
1758105781.517437,0
1758105781.6540968,0
1758105781.7921305,1
1758105781.9290967,2
1758105782.0658739,0
1758105782.1979365,0
1758105782.3344038,0
1758105782.4698648,0
1758105782.61601,0
1758105782.751699,0
1758105782.889801,1
1758105783.0304132,0
1758105783.1669722,0
1758105783.3026018,0
1758105783.4399593,0
1758105783.5756867,0
1758105783.7099152,0
1758105783.8452783,0
1758105783.981431,0
1758105784.1123378,0
1758105784.250306,1
1758105784.3851264,0
1758105784.5190184,0
1758105784.6589205,0
1758105784.801132,0
1758105784.9406457,0
1758105785.0740263,0
1758105785.2165012,0
1758105785.3601267,0
1758105785.4948688,0
1758105785.6310775,0
1758105785.7683408,0
1758105785.910553,0
1758105786.0510035,0
1758105786.188589,1
1758105786.322635,0
1758105786.4632802,0
1758105786.615254,1
1758105786.7589335,0
1758105786.903317,0
1758105787.044666,1
1758105787.1755106,0
1758105787.3185642,0
1758105787.4557436,0
1758105787.593477,0
1758105787.7349844,0
1758105787.8741987,1
1758105788.0075922,0
1758105788.1463344,0
1758105788.2813952,0
1758105788.4228435,0
1758105788.5590339,0
1758105788.6947927,0
1758105788.8276608,0
1758105788.968551,0
1758105789.1170623,0
1758105789.2657368,0
1758105789.4032269,0
1758105789.5421543,0
1758105789.6752286,0
1758105789.8140063,0
1758105789.9450908,0
1758105790.073919,0
1758105790.204003,0
1758105790.340888,1
1758105790.4763155,0
1758105790.6243367,0
1758105790.823491,0
1758105791.0164483,0
1758105791.1948133,1
1758105791.35085,0
1758105791.5057073,0
1758105791.6421895,0
1758105791.7818391,0
1758105791.9187925,1
1758105792.0587285,0
1758105792.199472,0
1758105792.3362246,0
1758105792.4740052,1
1758105792.6108286,0
